name,category,branch,city,postal_code,state,address,image,rating,reviews,distribution,range_min,range_max,est_low,est_mid,est_high,banner_text,website,phone,lat,lng,place_id,url,captured_at
Autohaus Royal GmbH,Autohändler,Automobil,Berlin,12103,,"Bessemerstraße 42A, 12103 Berlin-Bezirk Tempelhof-Schöneberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHq1_f1pFj-Eb97PxUr_JKfviso8YwAoIEyl1xXylCok34i4_w3S-mWJKb6nZCOHDHZzMA5XikmSvu3BDWskLJyfD06eRodL3tzq97exrIiCx8AQT_lFwZgcv81OcaGCScQZivqRw=w408-h240-k-no,4.9,2694,"{""oneStar"":28,""twoStar"":4,""threeStar"":1,""fourStar"":146,""fiveStar"":2515}",250,,4.57,4.61,4.65,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.autohaus-royal.de/,+49 30 800935833,52.4635009,13.3659218,0x47a850064d69af7b:0xcc07a08dc33dc709,"https://www.google.com/maps/place/Autohaus+Royal+GmbH/@52.4635009,13.3659218,17z/data=!4m8!3m7!1s0x47a850064d69af7b:0xcc07a08dc33dc709!8m2!3d52.4635009!4d13.3659218!9m1!1b1!16s%2Fg%2F1tdz8g0q?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:10:26.723Z
Holmes Place Fitness - Neukölln,Fitnessstudio,Fitness & Sport,Berlin,10967,,"Hasenheide 109, 10967 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYT9C9diQ78BcVwvqVZyzP5UCNxD8JiFQROLWbw69wPR2_-A2Zb86sjsh4Qa-qwNpsIrDsyQWio7W0kQPJ0KHeUgG44ZxADs826VofXp2t_EXXqdpnsURdCRtl828V6jQkv0Us4A=w426-h240-k-no,4.5,1186,"{""oneStar"":24,""twoStar"":23,""threeStar"":94,""fourStar"":182,""fiveStar"":863}",151,200,4.04,4.16,4.26,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.holmesplace.de/clubs/neue-welt,+49 30 62725800,52.4852948,13.4217708,0x47a84fb83fb4b6b1:0x57d78aad6e3f59f0,"https://www.google.com/maps/place/Holmes+Place+Fitness+-+Neuk%C3%B6lln/@52.4852948,13.4217708,17z/data=!3m1!5s0x47a84fb86b081a3d:0xbbd3286f45803085!4m8!3m7!1s0x47a84fb83fb4b6b1:0x57d78aad6e3f59f0!8m2!3d52.4852948!4d13.4217708!9m1!1b1!16s%2Fg%2F1tf30f01?entry=ttu&g_ep=EgoyMDI2MDYyNC4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:54:30.387Z
Holmes Place Fitness - Gendarmenmarkt,Fitnessstudio,Fitness & Sport,Berlin,10117,,"Eingang, Friedrichstraße, Anton-Wilhelm-Amo-Straße 68, 10117 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHF2YhEB-8Cu3Nzud6AvJinakJqFqbYVXC7b8v_ZnPTxS_c2RKczhc-ulnO9Lt3JlEoPSCL1TMPGU0RP0LdQ83UAfgkrlfDz35rKtLhQpYggSujcGIJIazp_rIqYWQDMl-1H7OExg=w427-h240-k-no,4.5,2008,"{""oneStar"":76,""twoStar"":63,""threeStar"":147,""fourStar"":293,""fiveStar"":1429}",151,200,4.15,4.22,4.29,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.holmesplace.de/clubs/berlin-gendarmenmarkt,+49 30 20624949,52.5126085,13.3905125,0x47a851da84303187:0x4720faf15992d90f,"https://www.google.com/maps/place/Holmes+Place+Fitness+-+Gendarmenmarkt/@52.5126085,13.3905125,17z/data=!3m1!5s0x47a851da86aec561:0x2444b34bf861b0c4!4m8!3m7!1s0x47a851da84303187:0x4720faf15992d90f!8m2!3d52.5126085!4d13.3905125!9m1!1b1!16s%2Fg%2F11by_zdp_n?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:57:46.871Z
Das Georgische Restaurant Supra Berlin,Georgisches Restaurant,Gastronomie & Hotel,Berlin,10178,,"Am Zwirngraben 6-7, 10178 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHczWci1JaSaUkR0wJteTRVmXFPM6BeKRtqLAznyb_2hlyc0JCotdnVG6ovQOieOhOH9iFzYQy5R1JOBmZX742NMAw31ei_Q_kY6Lx3V5f51huUqHDSRQ3IwgrZ1nyT87FWhKHnPk3zfFL_=w408-h444-k-no,4.5,495,"{""oneStar"":29,""twoStar"":14,""threeStar"":9,""fourStar"":47,""fiveStar"":396}",151,200,3.53,3.75,3.95,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.supraberlin.de/,+49 176 13815769,52.5228806,13.4028841,0x47a851f0e81863fb:0x597d8f17d64b6a7c,"https://www.google.com/maps/place/Das+georgische+Restaurant+Supra+Berlin/@52.5228806,13.4028841,17z/data=!3m1!5s0x47a851e0967c7499:0xd9708178e8633ca6!4m8!3m7!1s0x47a851f0e81863fb:0x597d8f17d64b6a7c!8m2!3d52.5228806!4d13.4028841!9m1!1b1!16s%2Fg%2F11w4m4czpd?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:59:44.028Z
Milja & Schäfa,Frühstückslokal,Sonstige,Berlin,10245,,"Sonntagstraße 1, 10245 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwzbF-umxAPPRfS4h28eneA3sTccbEf0tnPN3CMjj220e6VlSOfKteY6W9VUySrNVxTBXlCwrKtGoUzuaigx8gMXtVnaUyyrfQOOJPqSF9buKZbKMGOY0fQ9TLU1Zq2aYGmI2ZpQ8_T_4=w426-h240-k-no,4.7,1819,"{""oneStar"":11,""twoStar"":4,""threeStar"":31,""fourStar"":465,""fiveStar"":1308}",101,150,4.4,4.47,4.54,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://www.miljaundschaefa.com/,+49 30 78006700,52.5045731,13.4655325,0x47a84ef73608b8f9:0xb2f715c915f28cfd,"https://www.google.com/maps/place/Milja+%26+Sch%C3%A4fa/@52.5045731,13.4655325,16z/data=!3m2!4b1!5s0x47a84ef7358fe12f:0x9ca77aec75710249!4m6!3m5!1s0x47a84ef73608b8f9:0xb2f715c915f28cfd!8m2!3d52.5045699!4d13.4681074!16s%2Fg%2F1ptw2ryyd?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T19:58:45.027Z
Bless,Asiatisches Restaurant,Gastronomie & Hotel,Berlin,10117,,"Hausvogteipl. 10, 10117 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUn8KZURFh4IAOxh1MGdTCpiH0RI98gw6k_shQjkUTMokYKTO5BrV6BBc3kkvwX75n0UAjOjINSyeuyGa5Xp4A8InY6OLXdLb9JVPgSMzPjfQbVUdLUL9XGBMBSf-EDUUZLTwlWg=w408-h509-k-no,4.8,2164,"{""oneStar"":8,""twoStar"":16,""threeStar"":43,""fourStar"":325,""fiveStar"":1772}",101,150,4.53,4.59,4.65,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://bless-restaurants.com/,+49 30 20619795,52.5124086,13.3967904,0x47a8518e5446ed29:0x414b04762b9f4b36,"https://www.google.com/maps/place/Bless/@52.5124086,13.3967904,17z/data=!4m8!3m7!1s0x47a8518e5446ed29:0x414b04762b9f4b36!8m2!3d52.5124086!4d13.3967904!9m1!1b1!16s%2Fg%2F11lkzg8dhv?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:58:04.971Z
TERAS Döner Kebab,Döner-Restaurant,Gastronomie & Hotel,Berlin,10117,,"Wilhelmstraße 45, 10117 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzWdynw7vLdpnjQKveZrChkDiUBcIw-U-k_ZaGNGh8CR9inMltF916tytRkb7qQJbmUrQSkoWNrhb8QyWouSWq3LwG-Akj9w8sgOa1dM3C6bINbH218oT_L0GNpUl90_AH488p=w426-h240-k-no,4.8,8264,"{""oneStar"":22,""twoStar"":13,""threeStar"":279,""fourStar"":1370,""fiveStar"":6580}",101,150,4.68,4.7,4.72,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://terasrestaurant.de/,+49 163 0024999,52.5117229,13.3835554,0x47a851cf98ce2f6f:0x166c851fa5664702,"https://www.google.com/maps/place/TERAS+D%C3%B6ner+Kebab/@52.5117229,13.3835554,16z/data=!4m8!3m7!1s0x47a851cf98ce2f6f:0x166c851fa5664702!8m2!3d52.5117229!4d13.3835554!9m1!1b1!16s%2Fg%2F11c2pf5k18?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:59:25.930Z
Autohaus Royal GmbH,Autohändler,Automobil,Schönefeld,12529,,"Am Flughafen 1/3/5, 12529 Schönefeld, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1VY8jKXop34bX5x61-vHmdGy5XrJdtQDWr5msCPQzwUilZCadlbBZYFmH6Cwey4ksng-ScC7p9scGmFfpoyIKQDm3GUXWNYGXZ6Io730CgZHgHeLWVwOSrTCcOz8Sd3QpegU=w408-h306-k-no,4.9,417,"{""oneStar"":5,""twoStar"":1,""threeStar"":0,""fourStar"":11,""fiveStar"":400}",51,100,4.16,4.39,4.6,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.autohaus-royal.de/,+49 30 166398181,52.3776754,13.5413897,0x47a84729a9ba839f:0x899d01b26c94d130,"https://www.google.com/maps/place/Autohaus+Royal+GmbH/@52.3776754,13.5413897,17z/data=!4m8!3m7!1s0x47a84729a9ba839f:0x899d01b26c94d130!8m2!3d52.3776754!4d13.5413897!9m1!1b1!16s%2Fg%2F11pyp2fxzc?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:11:26.696Z
Autoland Niederlassung Berlin II,Autohändler,Automobil,Berlin,12683,,"Alt-Friedrichsfelde 63, 12683 Berlin-Bezirk Marzahn-Hellersdorf, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhg_frr5ERBCsoYFmC_DeB6Ltb84uO_9dOc61ExaTt4TlKXS-CJ9kS4pOrlqiakAk-c6-CIT1qE4pZho2GxYQAeiop7vMxr_OosQYuz-3uCijZjR17pcc3p1G7sTs4IzPRc8al=w408-h306-k-no,4.7,1303,"{""oneStar"":8,""twoStar"":5,""threeStar"":91,""fourStar"":164,""fiveStar"":1035}",51,100,4.43,4.52,4.6,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://autoland.de/autoland-niederlassungen/berlin,+49 30 22376333,52.5109024,13.5407664,0x47a84c4eb9855edd:0x229d6b804857ddf9,"https://www.google.com/maps/place/Autoland+Niederlassung+Berlin+II/@52.5109024,13.5407664,17z/data=!4m8!3m7!1s0x47a84c4eb9855edd:0x229d6b804857ddf9!8m2!3d52.5109024!4d13.5407664!9m1!1b1!16s%2Fg%2F11ckvd2ck9?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:11:16.717Z
AllDent Zahnzentrum Berlin,Zahnarzt,Gesundheit,Berlin,10117,,"Friedrichstraße 94, 10117 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAECVhW3u-oV2TbaO1QmSkk-qvNQQf5-wdIAUA7PJ4LuF_IT1duHHMSGNhOd5ccMw-zbpTt-0DrsualYybNXnOb6AwMJbiIkmbG1Zi3EHbaruVzn5aVgKfuJAxEifQzL8u3Wrx0=w422-h240-k-no,4.7,450,"{""oneStar"":25,""twoStar"":5,""threeStar"":1,""fourStar"":18,""fiveStar"":401}",51,100,4.03,4.24,4.43,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.alldent-zahnzentrum-berlin.de/,+49 30 587691110,52.5190628,13.388854,0x47a851b834c6d001:0x6eccc1d982f7ff,"https://www.google.com/maps/place/AllDent+Zahnzentrum+Berlin/@52.5190628,13.388854,17z/data=!3m1!5s0x47a84fdc2df7cc8b:0x7a8d8e897582900d!4m8!3m7!1s0x47a851b834c6d001:0x6eccc1d982f7ff!8m2!3d52.5190628!4d13.388854!9m1!1b1!16s%2Fg%2F11w232lr5m?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:00:58.563Z
MVZ MED ON Schmerz-Centrum Berlin,Arzt,Gesundheit,Berlin,10969,,"Puttkamerstraße 6, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyeNtby5VdUbHQXBuZCQJshbMkgiuKMPqICUX3r6v2QNvToD5IRKyncI21m6OICSCuEQiP3VueHbrUCwNv_oDFYhOpvJS7OMquNr1Exey7AOpX0iyJ7prq9pdQyaHgMC9DoB7mRXnq48w=w408-h271-k-no,4.7,111,"{""oneStar"":3,""twoStar"":1,""threeStar"":3,""fourStar"":8,""fiveStar"":96}",51,100,2.97,3.43,3.88,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.dr-immler.de/,+49 30 212366966,52.5043258,13.3901593,0x47a851d39b61e88f:0x8391d642f2d6fb18,"https://www.google.com/maps/place/MVZ+MED+ON+Schmerz-Centrum+Berlin/@52.5043258,13.3901593,17z/data=!4m8!3m7!1s0x47a851d39b61e88f:0x8391d642f2d6fb18!8m2!3d52.5043258!4d13.3901593!9m1!1b1!16s%2Fg%2F1v27tjh_?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:04:18.249Z
Ristorante Trattoria Vesuvio,Italienisches Restaurant,Gastronomie & Hotel,Berlin,10243,,"Strausberger Pl. 8, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKkxq_DU_NZJ_O6hrBcv5_9W3cwbsq1UlV32_NvU1c9pjRE6lqnbhDD1QMWrWwyFwNEAEP_LFA-cVECgunQAsni-xwTKssyHGKVJEtTko_6OlBm6-ESffwFmhL04TYXSoSmMs=w426-h240-k-no,4.7,1877,"{""oneStar"":11,""twoStar"":4,""threeStar"":70,""fourStar"":352,""fiveStar"":1440}",21,50,4.61,4.65,4.68,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.ristorante-vesuvio-berlin.de/,+49 30 42029589,52.5190864,13.429525,0x47a84e15fc75dc85:0xa1281f2c1aa479f7,"https://www.google.com/maps/place/Ristorante+Trattoria+Vesuvio/@52.5190864,13.429525,16z/data=!4m8!3m7!1s0x47a84e15fc75dc85:0xa1281f2c1aa479f7!8m2!3d52.5190864!4d13.429525!9m1!1b1!16s%2Fg%2F1hm30m5zf?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:59:16.837Z
Ristorante A MANO,Italienisches Restaurant,Gastronomie & Hotel,Berlin,10243,,"Strausberger Pl. 2, 10243 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_FqtfvJP_53bEufFtgZIYcEcxw12bdL-QlwMt3V82B4KqQ8GtF257YwRwGWFUETCBjbDgqHpzRq_OLDGmZC7ggtxXeVOwBuR2s3qDp1ZbCJZK3FEjLsG3EDpi1ZfnOfgFI0-7=w408-h272-k-no,4.8,4148,"{""oneStar"":1,""twoStar"":0,""threeStar"":128,""fourStar"":477,""fiveStar"":3542}",21,50,4.78,4.79,4.81,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://www.amano-ristorante.de/,+49 30 95598243,52.5193916,13.4273865,0x47a84e1623b079cb:0xa355fb53a80d566c,"https://www.google.com/maps/place/Ristorante+A+MANO/@52.5193916,13.4273865,16z/data=!3m1!5s0x47a84e16190635e1:0xf544a9ca593d1967!4m8!3m7!1s0x47a84e1623b079cb:0xa355fb53a80d566c!8m2!3d52.5193916!4d13.4273865!9m1!1b1!16s%2Fg%2F1hc0s4f1h?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:58:32.226Z
SuperFit Mitte,Fitnessraum,Fitness & Sport,Berlin,10179,,"Grunerstraße 20, 10179 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwVOjnaJRbRkk69xPf4X3okRnifi95frfC74MJqTu_GNvP9XCQuYdEqoBuDmNS2hghraQaxjlcE5YSbe73djDXJ-6qTylInRIRSP08FAyyeiTd7OoMohZmm8cSodKgAQQqaCGDYw=w408-h544-k-no,4.6,1548,"{""oneStar"":11,""twoStar"":5,""threeStar"":108,""fourStar"":272,""fiveStar"":1152}",21,50,4.53,4.58,4.61,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://superfit.club/,+49 30 688381768,52.5186653,13.4164869,0x47a84e2206913f7b:0x776957d52849630e,"https://www.google.com/maps/place/SuperFit+Mitte/@52.5186653,13.4164869,17z/data=!4m8!3m7!1s0x47a84e2206913f7b:0x776957d52849630e!8m2!3d52.5186653!4d13.4164869!9m1!1b1!16s%2Fg%2F11bw1pxw1w?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:57:29.091Z
McMakler GmbH - Immobilienmakler Berlin,Immobilienagentur,Immobilien,Berlin,10243,,"Am Postbahnhof 17, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6UUwRiOhoDKO9Gz64uQZCYWro5Y1Z5s3veM7KGL6FjSP9-K6DlGDMCt4MPixCU2fvp8_6q6GFyeks21P3fNz_4mruAsVTVFYbJ_koHCILKxsTnYnOm5sualW_rdVPzj7On3y7=w426-h240-k-no,4.5,477,"{""oneStar"":42,""twoStar"":9,""threeStar"":3,""fourStar"":30,""fiveStar"":393}",21,50,4.18,4.31,4.41,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.mcmakler.de/standorte/berlin?utm_source=local&utm_medium=link&utm_campaign=berlin,+49 30 555744974,52.508036,13.4381494,0x47a84e262f68d6df:0x94b5c3713ab6fcf2,"https://www.google.com/maps/place/McMakler+GmbH+-+Immobilienmakler+Berlin/@52.508036,13.4381494,17z/data=!4m8!3m7!1s0x47a84e262f68d6df:0x94b5c3713ab6fcf2!8m2!3d52.508036!4d13.4381494!9m1!1b1!16s%2Fg%2F11b861md1h?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:22:05.699Z
